# REBOUND parity — Retrograde Kepler e=0.5 — apsis IAS15 side
# protocol: paper/notebooks/2026-05-01-rebound-parity-retrograde.md
# integrator: IAS15 (apsis)
# units: canonical (G = 1)
# a=1, e=0.5, m_primary=1, m_secondary=1e-6
# orbit_sense: retrograde (secondary_vy = -v_peri)
# period=6.283185307179586232e0, dt0=6.283185307179586614e-3, n_orbits=10000
orbit,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,e_total
0,0.000000000000000000e0,-4.999995000005000306e-7,0.000000000000000000e0,0.000000000000000000e0,1.732049075519801814e-6,4.999995000005000301e-1,0.000000000000000000e0,0.000000000000000000e0,-1.732049075519801695e0,-5.000014999985003469e-7
1,6.292641273916811606e0,-4.998195061465539512e-7,1.643064035723418120e-8,3.793814785797594707e-8,1.731425670728439867e-6,4.998195061465542377e-1,-1.643064035723256627e-2,-3.793814785797587630e-2,-1.731425670728439892e0,-5.000014999984997117e-7
2,1.257248241189762261e1,-4.999232527565384190e-7,1.069421698674067134e-8,2.469537797075467061e-8,1.731784967456319179e-6,4.999232527565392048e-1,-1.069421698673779335e-2,-2.469537797075457841e-2,-1.731784967456319047e0,-5.000014999985003469e-7
3,1.885250666725875490e1,-4.999809563217416878e-7,5.274012192150437676e-9,1.217959576112986392e-8,1.731984839523438891e-6,4.999809563217430530e-1,-5.274012192146147748e-3,-1.217959576112981335e-2,-1.731984839523438735e0,-5.000014999984999234e-7
4,2.513306212903747294e1,-4.999991011628509765e-7,7.734695568055163852e-10,1.786252501141684277e-9,1.732047693906214501e-6,4.999991011628525661e-1,-7.734695567998443400e-4,-1.786252501141685767e-3,-1.732047693906214381e0,-5.000014999984997117e-7
5,3.142120457199407824e1,-4.999404219594923012e-7,9.413515103768246165e-9,2.173831940153453757e-8,1.731844435272254623e-6,4.999404219594939525e-1,-9.413515103761435979e-3,-2.173831940153451991e-2,-1.731844435272254623e0,-5.000014999984994999e-7
6,3.770110378741614454e1,-4.999899914474370939e-7,3.776603402069832349e-9,8.721617755104915397e-9,1.732016137238980271e-6,4.999899914474388307e-1,-3.776603402062240610e-3,-8.721617755104896230e-3,-1.732016137238980180e0,-5.000014999984994999e-7
7,4.399883354727090534e1,-4.994382149111220646e-7,2.901188840847047123e-8,6.696256831341654711e-8,1.730105817654624959e-6,4.994382149111239455e-1,-2.901188840846242664e-2,-6.696256831341655669e-2,-1.730105817654624900e0,-5.000014999984992882e-7
8,5.026997262759552854e1,-4.999545381096141341e-7,8.212258231364963925e-9,1.896456428654619503e-8,1.731893329963572542e-6,4.999545381096162089e-1,-8.212258231356227636e-3,-1.896456428654613724e-2,-1.731893329963572370e0,-5.000014999984994999e-7
9,5.654986269524155063e1,-4.999951329837232073e-7,2.559394021484902015e-9,5.910647407867257786e-9,1.732033947796003768e-6,4.999951329837257763e-1,-2.559394021475521874e-3,-5.910647407867189451e-3,-1.732033947796003837e0,-5.000014999985003469e-7
10,6.284753784687275413e1,-4.994877865472261619e-7,2.770148473246000820e-8,6.394118314457370637e-8,1.730277354731387317e-6,4.994877865472289180e-1,-2.770148473244999493e-2,-6.394118314457364338e-2,-1.730277354731387440e0,-5.000014999984992882e-7
11,6.911843521482543906e1,-4.999714893983501697e-7,6.481915669134529851e-9,1.496893870692774869e-8,1.731952046665496427e-6,4.999714893983533970e-1,-6.481915669124065603e-3,-1.496893870692769801e-2,-1.731952046665496292e0,-5.000014999984994999e-7
12,7.539849616602693061e1,-4.999986563806563672e-7,1.124911861266403188e-9,2.597873069901033704e-9,1.732046153137416401e-6,4.999986563806598783e-1,-1.124911861255216373e-3,-2.597873069900960563e-3,-1.732046153137416500e0,-5.000014999984997117e-7
13,8.169618117727920037e1,-4.995387763528094375e-7,2.628545014516331665e-8,6.067575287366114239e-8,1.730453816959590880e-6,4.995387763528132408e-1,-2.628545014515149339e-2,-6.067575287366108738e-2,-1.730453816959590885e0,-5.000014999984997117e-7
