# REBOUND parity — Retrograde Kepler e=0.5 — REBOUND IAS15 side
# protocol: docs/experiments/2026-05-01-rebound-parity-retrograde.md
# integrator: IAS15 (REBOUND)
# rebound_version: 4.6.0
# units: canonical (G = 1)
# a=1.0, e=0.5, m_primary=1.0, m_secondary=1.000000e-06
# orbit_sense: retrograde (secondary_vy = -v_peri)
# period=6.283185307179586232e+00, dt0=4.972074126022033025e-02, n_orbits=10000
orbit,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,e_total
0,0.000000000000000000e+00,-4.999995000005000306e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.732049075519801814e-06,4.999995000005000301e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.732049075519801695e+00,-5.000014999985003469e-07
1,6.292641273916811606e+00,-4.998195061465538453e-07,1.643064035723642451e-08,3.793814785798165131e-08,1.731425670728439867e-06,4.998195061465541267e-01,-1.643064035723503652e-02,-3.793814785798156619e-02,-1.731425670728439670e+00,-5.000014999985001352e-07
2,1.257248241189762261e+01,-4.999232527565388425e-07,1.069421698673523511e-08,2.469537797074073758e-08,1.731784967456319603e-06,4.999232527565393158e-01,-1.069421698673179467e-02,-2.469537797074067634e-02,-1.731784967456319269e+00,-5.000014999985003469e-07
3,1.885250666725875490e+01,-4.999809563217418996e-07,5.274012192143050953e-09,1.217959576110934488e-08,1.731984839523438891e-06,4.999809563217432196e-01,-5.274012192137290250e-03,-1.217959576110921524e-02,-1.731984839523438735e+00,-5.000014999984997117e-07
4,2.513306212903747294e+01,-4.999991011628501294e-07,7.734695567339695015e-10,1.786252500970745749e-09,1.732047693906214713e-06,4.999991011628527326e-01,-7.734695567258916687e-04,-1.786252500970531010e-03,-1.732047693906214381e+00,-5.000014999984999234e-07
5,3.142120457199407824e+01,-4.999404219594912424e-07,9.413515103703333993e-09,2.173831940137576521e-08,1.731844435272257588e-06,4.999404219594948406e-01,-9.413515103692676744e-03,-2.173831940137561924e-02,-1.731844435272257288e+00,-5.000014999984999234e-07
6,3.770110378741614454e+01,-4.999899914474348704e-07,3.776603402043665318e-09,8.721617755032184714e-09,1.732016137238981118e-06,4.999899914474389417e-01,-3.776603402030677750e-03,-8.721617755032065600e-03,-1.732016137238980846e+00,-5.000014999984992882e-07
7,4.399883354727090534e+01,-4.994382149111185706e-07,2.901188840848633986e-08,6.696256831343716707e-08,1.730105817654624323e-06,4.994382149111233904e-01,-2.901188840847135353e-02,-6.696256831343710969e-02,-1.730105817654624012e+00,-5.000014999984999234e-07
8,5.026997262759552854e+01,-4.999545381096102166e-07,8.212258231432579323e-09,1.896456428668332172e-08,1.731893329963571060e-06,4.999545381096152652e-01,-8.212258231415602017e-03,-1.896456428668333305e-02,-1.731893329963570816e+00,-5.000014999984994999e-07
9,5.654986269524155063e+01,-4.999951329837207721e-07,2.559394021518867705e-09,5.910647407921899682e-09,1.732033947796004191e-06,4.999951329837255543e-01,-2.559394021499106740e-03,-5.910647407921890487e-03,-1.732033947796003837e+00,-5.000014999985001352e-07
10,6.284753784687275413e+01,-4.994877865472222444e-07,2.770148473252946490e-08,6.394118314470388474e-08,1.730277354731380964e-06,4.994877865472265865e-01,-2.770148473250643242e-02,-6.394118314470391418e-02,-1.730277354731380557e+00,-5.000014999984992882e-07
11,6.911843521482543906e+01,-4.999714893983474168e-07,6.481915669314583082e-09,1.496893870730665035e-08,1.731952046665491768e-06,4.999714893983518982e-01,-6.481915669288157433e-03,-1.496893870730667264e-02,-1.731952046665491407e+00,-5.000014999984999234e-07
12,7.539849616602693061e+01,-4.999986563806547790e-07,1.124911861664563681e-09,2.597873070777001429e-09,1.732046153137415131e-06,4.999986563806592677e-01,-1.124911861634543368e-03,-2.597873070776940407e-03,-1.732046153137414501e+00,-5.000014999985001352e-07
13,8.169618117727920037e+01,-4.995387763527969437e-07,2.628545014549141949e-08,6.067575287436599291e-08,1.730453816959554458e-06,4.995387763528024161e-01,-2.628545014545713432e-02,-6.067575287436583614e-02,-1.730453816959553803e+00,-5.000014999984999234e-07
14,8.796776480458881053e+01,-4.999734316745235187e-07,6.253151292050979666e-09,1.444067232454047992e-08,1.731958774543696743e-06,4.999734316745300666e-01,-6.253151292012121276e-03,-1.444067232454027128e-02,-1.731958774543696178e+00,-5.000014999984999234e-07
15,9.426526064747844202e+01,-4.993552774782491083e-07,3.108087165905215687e-08,7.173205893859197643e-08,1.729818859992190947e-06,4.993552774782570869e-01,-3.108087165900791371e-02,-7.173205893859174731e-02,-1.729818859992190205e+00,-5.000014999984999234e-07
16,1.005452682636199739e+02,-4.995612247569360653e-07,2.563722852280495086e-08,5.918076494989999984e-08,1.730531510650512989e-06,4.995612247569455877e-01,-2.563722852275487213e-02,-5.918076494989975289e-02,-1.730531510650512139e+00,-5.000014999985001352e-07
17,1.068156592752460057e+02,-4.999911513686193803e-07,3.538766802707449398e-09,8.172371808884804585e-09,1.732020155252103317e-06,4.999911513686305375e-01,-3.538766802651277521e-03,-8.172371808884526523e-03,-1.732020155252102400e+00,-5.000014999985001352e-07
18,1.131047526152482163e+02,-4.998720706860367400e-07,1.382502841562442153e-08,3.192349945513771997e-08,1.731607703669399297e-06,4.998720706860496632e-01,-1.382502841556232723e-02,-3.192349945513743570e-02,-1.731607703669398424e+00,-5.000014999985001352e-07
19,1.193847422982344710e+02,-4.999530685808041246e-07,8.345380357859249061e-09,1.927195483463928096e-08,1.731888239831707894e-06,4.999530685808192820e-01,-8.345380357791108705e-03,-1.927195483463894216e-02,-1.731888239831707033e+00,-5.000014999984999234e-07
20,1.256646614576020369e+02,-4.999944842565013551e-07,2.742914883266254808e-09,6.334465147199405553e-09,1.732031700560123729e-06,4.999944842565187120e-01,-2.742914883192005583e-03,-6.334465147199064630e-03,-1.732031700560122900e+00,-5.000014999985001352e-07
21,1.319623419074984554e+02,-4.994806480672684363e-07,2.789398568452105712e-08,6.438505874774640782e-08,1.730252651776014588e-06,4.994806480672883686e-01,-2.789398568444094104e-02,-6.438505874774592963e-02,-1.730252651776013728e+00,-5.000014999985005587e-07
22,1.382330803739708927e+02,-4.999721980731189831e-07,6.399394509344472387e-09,1.477837987160600842e-08,1.731954501451191280e-06,4.999721980731410831e-01,-6.399394509258526931e-03,-1.477837987160568467e-02,-1.731954501451190565e+00,-5.000014999984999234e-07
23,1.445306578134189692e+02,-4.993433125100128513e-07,3.136807820026790245e-08,7.239404204304162163e-08,1.729777465973042265e-06,4.993433125100368852e-01,-3.136807820017644549e-02,-7.239404204304134005e-02,-1.729777465973041384e+00,-5.000014999985007705e-07
24,1.508020014548158088e+02,-4.999199220075620197e-07,1.092529181002685568e-08,2.522889823956507880e-08,1.731773431201204160e-06,4.999199220075880579e-01,-1.092529180993045967e-02,-2.522889823956475652e-02,-1.731773431201203417e+00,-5.000014999985001352e-07
25,1.570819503251831861e+02,-4.999802425939476408e-07,5.374548713894162897e-09,1.241176198084441191e-08,1.731982367191387503e-06,4.999802425939763872e-01,-5.374548713792592566e-03,-1.241176198084396366e-02,-1.731982367191386762e+00,-5.000014999985005587e-07
26,1.633797258888388058e+02,-4.993714978778315764e-07,3.068722061978087583e-08,7.082469324216726092e-08,1.729874977687789184e-06,4.993714978778631686e-01,-3.068722061967430609e-02,-7.082469324216682238e-02,-1.729874977687788196e+00,-5.000014999984999234e-07
27,1.696596627404623803e+02,-4.995787024562028205e-07,2.512095242649425270e-08,5.799001059179685503e-08,1.730592003198302801e-06,4.995787024562367007e-01,-2.512095242638249376e-02,-5.799001059179656470e-02,-1.730592003198301976e+00,-5.000014999985001352e-07
28,1.759395746576421971e+02,-4.997457217570759315e-07,1.950944133260298594e-08,4.504373877728587085e-08,1.731170184939853242e-06,4.997457217571109611e-01,-1.950944133248655801e-02,-4.504373877728569397e-02,-1.731170184939852641e+00,-5.000014999984997117e-07
29,1.822194698495908085e+02,-4.998712896372532795e-07,1.386732965433150255e-08,3.202115262502765142e-08,1.731604998728658603e-06,4.998712896372888848e-01,-1.386732965421056535e-02,-3.202115262502757548e-02,-1.731604998728657918e+00,-5.000014999984997117e-07
30,1.885081429100258106e+02,-4.996336970887350642e-07,2.342227382565222488e-08,5.407169893887291054e-08,1.730782360429602169e-06,4.996336970887709228e-01,-2.342227382552642193e-02,-5.407169893887294604e-02,-1.730782360429601319e+00,-5.000014999985001352e-07
31,1.947881347229214271e+02,-4.997847097509539750e-07,1.794854112991747344e-08,4.144152044504116964e-08,1.731305180050733033e-06,4.997847097509897085e-01,-1.794854112978719329e-02,-4.144152044504120780e-02,-1.731305180050732417e+00,-5.000014999985001352e-07
32,2.010771083484561075e+02,-4.994758962240851720e-07,2.802139312508605317e-08,6.467883415358978411e-08,1.730236208054706493e-06,4.994758962241203637e-01,-2.802139312495160323e-02,-6.467883415358985366e-02,-1.730236208054706015e+00,-5.000014999985003469e-07
33,2.073570581915275852e+02,-4.996626454429277969e-07,2.247655939718915280e-08,5.188996304518099703e-08,1.730882570044870621e-06,4.996626454429623498e-01,-2.247655939705004574e-02,-5.188996304518116165e-02,-1.730882570044870006e+00,-5.000014999984994999e-07
34,2.136369983461018194e+02,-4.998087793036608266e-07,1.691310711278725939e-08,3.905173887646455003e-08,1.731388525626244112e-06,4.998087793036947168e-01,-1.691310711264337741e-02,-3.905173887646465336e-02,-1.731388525626243569e+00,-5.000014999984994999e-07
35,2.199260550807719312e+02,-4.995086730927841558e-07,2.713039265108459823e-08,6.262428303419973579e-08,1.730349635365434080e-06,4.995086730928172680e-01,-2.713039265093649885e-02,-6.262428303419985409e-02,-1.730349635365433514e+00,-5.000014999984999234e-07
36,2.262057959433620908e+02,-4.996991633204039657e-07,2.122348857674294136e-08,4.899888025330678016e-08,1.731008991116180872e-06,4.996991633204360683e-01,-2.122348857659007992e-02,-4.899888025330692565e-02,-1.731008991116180118e+00,-5.000014999984999234e-07
37,2.324857299036386848e+02,-4.998362264552090343e-07,1.564895633410126290e-08,3.613385305697901363e-08,1.731483571699588520e-06,4.998362264552402845e-01,-1.564895633394323277e-02,-3.613385305697905392e-02,-1.731483571699587776e+00,-5.000014999984992882e-07
38,2.387745280466805866e+02,-4.995686397474390306e-07,2.541947789152276454e-08,5.867854611405358167e-08,1.730557174620896404e-06,4.995686397474701224e-01,-2.541947789135983599e-02,-5.867854611405363963e-02,-1.730557174620895644e+00,-5.000014999984992882e-07
39,2.450544658948530241e+02,-4.997367049990405354e-07,1.985295740572702019e-08,4.583644149406181703e-08,1.731138966102628772e-06,4.997367049990708021e-01,-1.985295740555832397e-02,-4.583644149406199131e-02,-1.731138966102627741e+00,-5.000014999984999234e-07
40,2.513430872608285824e+02,-4.994264152735122704e-07,2.931516759504486911e-08,6.766177145915951792e-08,1.730064988839034425e-06,4.994264152735415352e-01,-2.931516759487055521e-02,-6.766177145915971969e-02,-1.730064988839033591e+00,-5.000014999984999234e-07
41,2.576231097750596177e+02,-4.996187282819280489e-07,2.389660425598604065e-08,5.516589321612143067e-08,1.730730545652475784e-06,4.996187282819560815e-01,-2.389660425580638833e-02,-5.516589321612164892e-02,-1.730730545652474861e+00,-5.000014999984994999e-07
42,2.638938719888776632e+02,-4.999955319878615636e-07,2.439671126327246510e-09,5.634162403447445448e-09,1.732035329975450382e-06,4.999955319878888749e-01,-2.439671126142628488e-03,-5.634162403447467993e-03,-1.732035329975449622e+00,-5.000014999984994999e-07
43,2.701915277575827190e+02,-4.994934300744621729e-07,2.754834460284460158e-08,6.358806036781707525e-08,1.730296884601092168e-06,4.994934300744894307e-01,-2.754834460265473406e-02,-6.358806036781705640e-02,-1.730296884601091545e+00,-5.000014999984999234e-07
44,2.764714184055438295e+02,-4.996796827316357688e-07,2.190087284438410741e-08,5.056177940836462130e-08,1.730941550207288416e-06,4.996796827316631884e-01,-2.190087284418908847e-02,-5.056177940836462104e-02,-1.730941550207287571e+00,-5.000014999984999234e-07
45,2.827598718505714714e+02,-4.993556747425464273e-07,3.107129014999317719e-08,7.170997408405648900e-08,1.729820234385302228e-06,4.993556747425738074e-01,-3.107129014979304049e-02,-7.170997408405652140e-02,-1.729820234385301525e+00,-5.000014999984994999e-07
46,2.890316651068920351e+02,-4.999127527841625205e-07,1.140679273103106122e-08,2.634060078856635477e-08,1.731748600412998425e-06,4.999127527841892293e-01,-1.140679273082602363e-02,-2.634060078856645393e-02,-1.731748600412997829e+00,-5.000014999984994999e-07
47,2.953115706235050766e+02,-4.999772195641067156e-07,5.781022002928293996e-09,1.335041433607974242e-08,1.731971895543795690e-06,4.999772195641326578e-01,-5.781022002718560863e-03,-1.335041433607980256e-02,-1.731971895543795048e+00,-5.000014999984990764e-07
48,3.016003104389089344e+02,-4.998402580203412752e-07,1.545456158993475808e-08,3.568513430682877934e-08,1.731497532947780324e-06,4.998402580203669121e-01,-1.545456158972002315e-02,-3.568513430682880572e-02,-1.731497532947779749e+00,-5.000014999985001352e-07
49,3.078896831452350966e+02,-4.995410865692044536e-07,2.621948062429629544e-08,6.052361255517399613e-08,1.730461812433400879e-06,4.995410865692300195e-01,-2.621948062407664093e-02,-6.052361255517404309e-02,-1.730461812433400137e+00,-5.000014999985001352e-07
50,3.141696085106075884e+02,-4.997156831817558940e-07,2.063162530019304118e-08,4.763322624602255886e-08,1.731066184180210260e-06,4.997156831817813893e-01,-2.063162529996824882e-02,-4.763322624602261968e-02,-1.731066184180209300e+00,-5.000014999984999234e-07
51,3.204495907775920500e+02,-4.998466632895152634e-07,1.514057755197255764e-08,3.496035785098419187e-08,1.731519714528144529e-06,4.998466632895401940e-01,-1.514057755174222537e-02,-3.496035785098434989e-02,-1.731519714528143572e+00,-5.000014999985005587e-07
52,3.267295962040874429e+02,-4.999369209240287314e-07,9.688420398968421871e-09,2.237307079206423497e-08,1.731832308805040837e-06,4.999369209240528411e-01,-9.688420398732784308e-03,-2.237307079206428406e-02,-1.731832308805040022e+00,-5.000014999984999234e-07
53,3.330094974033137873e+02,-4.999885380505324070e-07,4.054972491632670312e-09,9.364464549817454831e-09,1.732011102627554147e-06,4.999885380505568189e-01,-4.054972491391423649e-03,-9.364464549817356001e-03,-1.732011102627553312e+00,-5.000014999984990764e-07
54,3.392980787715025599e+02,-4.998788087385496962e-07,1.345457565347717772e-08,3.106829290893174378e-08,1.731631039177663796e-06,4.998788087385742096e-01,-1.345457565322966641e-02,-3.106829290893171544e-02,-1.731631039177662812e+00,-5.000014999984999234e-07
